# layout name, external name, data type, max length, data format, mandatory, xpath expression, input/output indicator
DAACrOUT,AirtimeDue,Numeric,9,#.##,,xml/DAACrOUT/AirtimeDue,input_output
DAACrOUT,CreditOfferFinal,Numeric,9,#.##,,xml/DAACrOUT/CreditOfferFinal,input_output
DAACrOUT,DefineExclusionFlagderivedDataScriptResults,String,1,,,xml/DAACrOUT/DefineExclusionFlagderivedDataScriptResults,input_output
DAACrOUT,FeeCalculation,Numeric,9,#.##,,xml/DAACrOUT/FeeCalculation,input_output
DAACrOUT,LoadInstructionsCredit,Numeric,9,#.##,,xml/DAACrOUT/LoadInstructionsCredit,input_output
DAACrOUT,LoadInstructionsDebit,Numeric,9,#.##,,xml/DAACrOUT/LoadInstructionsDebit,input_output
DAACrOUT,ReimbursementAmount,Numeric,9,#.##,,xml/DAACrOUT/ReimbursementAmount,input_output
DAACrOUT,ReimbursementMobiderivedDataScriptResults,String,1,,,xml/DAACrOUT/ReimbursementMobiderivedDataScriptResults,input_output
DAACrOUT,ReimbursementMobiderivedDataScriptResults1,String,1,,,xml/DAACrOUT/ReimbursementMobiderivedDataScriptResults1,input_output
DAACrOUT,CalculateRightAmountForAcceptedderivedDataScriptResults.DerivedDataScriptId,String,8,,,xml/DAACrOUT/CalculateRightAmountForAcceptedderivedDataScriptResults/DerivedDataScriptId,input_output
DAACrOUT,CalculateRightAmountForAcceptedderivedDataScriptResults.DerivedDataScriptName,String,30,,,xml/DAACrOUT/CalculateRightAmountForAcceptedderivedDataScriptResults/DerivedDataScriptName,input_output
DAACrOUT,DefineExclusionFlagderivedDataScriptResults2.DerivedDataScriptId,String,8,,,xml/DAACrOUT/DefineExclusionFlagderivedDataScriptResults2/DerivedDataScriptId,input_output
DAACrOUT,DefineExclusionFlagderivedDataScriptResults2.DerivedDataScriptName,String,30,,,xml/DAACrOUT/DefineExclusionFlagderivedDataScriptResults2/DerivedDataScriptName,input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.DecisionCategory,String,20,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/DecisionCategory,input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.DecisionSetterId,String,8,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/DecisionSetterId,input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.DecisionSetterName,String,30,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/DecisionSetterName,input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.DecisionText,String,20,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/DecisionText,input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.SortedDecisionTable[1],String,50,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/SortedDecisionTable[1],input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.SortedDecisionTable[2],String,50,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/SortedDecisionTable[2],input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.SortedReasonCodeTable[1],String,10,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/SortedReasonCodeTable[1],input_output
DAACrOUT,ExclusionsdecisionSetterTypicalResult2.SortedReasonCodeTable[2],String,10,,,xml/DAACrOUT/ExclusionsdecisionSetterTypicalResult2/SortedReasonCodeTable[2],input_output
DAACrOUT,ProcesstreatmentTreeResults2.LeafNodeId,String,8,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/LeafNodeId,input_output
DAACrOUT,ProcesstreatmentTreeResults2.LeafNodeName,String,30,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/LeafNodeName,input_output
DAACrOUT,ProcesstreatmentTreeResults2.OutcomeId,String,8,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/OutcomeId,input_output
DAACrOUT,ProcesstreatmentTreeResults2.OutcomeName,String,30,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/OutcomeName,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentId,String,8,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentId,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentName,String,30,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentName,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentTableId,String,8,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentTableId,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentTableName,String,30,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentTableName,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentTreeId,String,8,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentTreeId,input_output
DAACrOUT,ProcesstreatmentTreeResults2.TreatmentTreeName,String,30,,,xml/DAACrOUT/ProcesstreatmentTreeResults2/TreatmentTreeName,input_output
